,Review Header,Review Text,User,Date Published,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
10,"""lounge was overcrowded and worn out""","✅ Trip Verified |  Flying LHR T5 to CPT November 2022:  BA app and website not working properly - would not load my ticket. LHR T5 smooth and calm. Checking process quick. - But boarding card would not scan at security, they gave me one for someone else to a different destination.  Ran back to checkin to get correct one. Bags also tagged incorrectly and had disappeared.  Someone ran off to find my bags in the depths of T5 and retag them (amazingly they did show up in Cape Town).  Told only main lounge was open not B and C pier lounges. Turns out this was false information ... B Pier lounge was open. But I was in main lounge which was overcrowded and worn out. -Arrived late to the gate (train not working). There was a Biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. Seat comfy and cabin clean but the sinks were taped up as the waste was not working. I was offered hand sanitiser instead but this is disgusting (imagine going to the bathroom and not being able to wash your hands as there is no sink). Unbelievable that BA dispatches planes in this condition. Food average. Wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). Overall experience 2/10. Flew Air France (Fortalaza to CDG to LHR) two weeks earlier which was way better. How embarrassing for BA.",J Meares,18th November 2022,Boeing 777,Solo Leisure,Business Class,London to Cape Town,November 2022,4.0,2.0,1.0,4.0,1,,1,no
11,"""very uncomfortable trip""","Not Verified | Worst experience ever. Outbound flight was cancelled and I was not notified. I was rebooked on a very uncomfortable trip. Inbound flight delayed 1 hour, also not notified. On top of it, they boarded my hand luggage, which was the only bag I had. Extra wait in Milan then. Food is horrible.",Flavia Malusardi,7th November 2022,,Solo Leisure,Economy Class,Milan to Dallas via London,November 2022,2.0,5.0,2.0,2.0,2,2.0,1,no
12,"""rate this just as a mediocre journey""","✅ Trip Verified |  Check in was a shambles at BWI, just 3 counters open for a very full flight. The bag drop queue was even longer than the regular check-in queue! Boarding was done by zones so that was carried out reasonably well. Once on board, the FAs were fine, not as engaging on my outbound flight to IAD. The aircraft was cramped and the seats in economy were horrible. I was seated in an aisle seat (row F) where there is an entertainment box taking up a third of your legroom. Overall, very cramped seat, poor legroom and awful IFE screens. The meal was mediocre and there was no bar service before the meal this time. On lading, we were served a hot sandwich which had oozing cheese all over the wrapper so it was not pleasant to handle but tasted very good! The plane landed at a remote stand which meant that we had to be bussed to T5 and since it was raining, it was not a nice experience. Overall, I rate this just as a mediocre journey.",R Gonzaga,7th November 2022,Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1.0,3.0,3.0,1.0,2,,3,yes
13,"""baggage yet to be delivered after 5 weeks""",✅ Trip Verified | Beyond disgusted with the fact that my baggage has yet to be delivered to me after 5 weeks of emails and calls to BA. Two pieces reported 29th September. BA responses are generic non specific and all attempts to speak to a customer service worker are obstructed. All this from an airline touting its values and claiming yo be one of the best in the world. Disgraceful does not fully describe their customer service.,Iviano Ossuetta,5th November 2022,,Couple Leisure,Business Class,Dubai to Belfast via London,October 2022,3.0,3.0,3.0,2.0,1,2.0,1,no
14,"""misplaced our luggage during our wedding trip""","✅ Trip Verified | On July 19th 2022 I had submitted a complaint form with regards to the fact that BA had misplaced our luggage during our wedding trip to Italy and we've lost 2 days and incurred additional expenses in retrieving them, for which I had provided all copy of receipts for. I requested for my expenses to be reimbursed, they agreed, I sent all requested information and was told in 2 weeks I will be receiving it. It's 4 months later and British Airways has not processed my reimbursements and stopped answering my follow-ups on the matter.",Georgeta Costache,31st October 2022,,Couple Leisure,Economy Class,Dallas to Bologna via London,July 2022,5.0,5.0,,,1,,1,no
15,"""zero faith in British Airways""","✅ Trip Verified |  I booked the flight on Oct 8, but have to cancel the flight on the same day after learning that I can't get my entry visa in time for the flight. And I did receive a confirmation email says my flight was canceled. But in the cancellation email, the booking reference number is a different one. So I requested cancellation, but BA canceled another person's flight and sent the confirmation to my email? I assumed that my flight was canceled, but after more than 3 weeks, I still have not received any refund, so I reached out, and it turned out my flight is still on?! And it is getting even more ridiculous when you try to reach out to BA. I tried multiple different ways, phone calls, and emails, but none was able to investigate what actually happened nor has the authority help cancel my flight without paying penalty. Based on my experience, no ones reads your email carefully, no matter how much context you put in. Given all I have experienced, I have zero faith in British Airways.",R Zhang,31st October 2022,,Solo Leisure,Economy Class,San Francisco to London,October 2022,,,,,1,,1,no
16,"""under whelmed by the experience""",✅ Trip Verified |  London to Gibraltar on 25th October 2022. I booked my flight several months ahead of travel and was rather disappointed by the experience.  BA attempt to nickle and dime the customers with outrageous seat selection prices. Offering of a very small bottle of water and a nutribar as a breakfast and one gains the impression of where BA aim to be positioned at of late. The A320 has was no inflight entertainment or a route map. The staff disappeared for most of the flight. The flight was punctual but I felt cheated and under whelmed by the experience.,C Barton,31st October 2022,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022,2.0,1.0,1.0,,3,,3,no
17,"""about as abysmal as you can get""","Not Verified |  I’ve generally been a loyal Gold status flyer with BA if they fly the route I’m after but my recent flight to Nairobi was about as abysmal as you can get. We should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. Staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. They couldn’t get it out and away quickly enough. That was then basically the last you saw of them until they came around an hour or so before landing. I sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. They were all extremely miserable and clearly didn’t want to be on board. We’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in July for the cancellation of our flight to Miami in March. This was cancelled at 3am for the 2:30 pm flight !",Amanda Edgar,30th October 2022,Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,3.0,1.0,1.0,2.0,1,1.0,1,no
18,"""has returned to full service""","✅ Trip Verified |  A great flight. The suites on this aircraft really provide maximum comfort. British has returned to full service so meals were coursed, menus and hot towels provided…etc Food was quite good with choices provided for both meals. Service was ok, I prefer to have the same person serving me rather than a hodge pudge but that’s my preference. Entertainment was good as was connectivity. No real complaints except a minor one. The tray table seemed far from me while eating in its closest position. I actually felt like I was in a true business class, not by Qatar’s standards, but that’s another story.",Peter Pomeranze,30th October 2022,A350-1000,Solo Leisure,Business Class,London to Los Angeles,October 2022,5.0,4.0,5.0,5.0,3,5.0,5,yes
19,"""this flight was quite good""","✅ Trip Verified |  I am happy to say that this flight was quite good. Except for the second rate Euro business seating, everything was very well done. A friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about Heathrow transit. Well done. Unfortunately, a bus gate was used upon arrival.",Peter Pomeranze,30th October 2022,A320,Solo Leisure,Business Class,Copenhagen to Heathrow,October 2022,3.0,5.0,5.0,,4,5.0,5,yes
20,"""BA is way behind other carriers""","✅ Verified Review |  Seoul Incheon to London Heathrow. This was my first flight on BA for many years. As a Brit, I was actually looking forward to flying them in order to return home for Christmas on board the relatively new B787. I was disappointed. The fare I paid on this occasion was relatively good value for a J class cabin - in my view. However, it was extremely disappointing to see that you have to pay to select your seat in J class. I do not know of and have not ever flown another airline which charges you for this and I certainly do not appreciate it. I was seated in row 1 by the window. My first experience in this cabin was a shock when I realised I was looking straight into the face of the passenger sitting next to me. And further that i had to step over the legs of the passenger in row 2 to get into and out from my seat. The tray table did not sit straight when pulled out for service. Even in row 1, by the time the cabin crew came to take my meal order they were already telling me that two of the available options had already run out. This left me taking a Korean option on a flight on BA where the majority of the passengers seemed to be non-Korean. Clearly something wrong with the meal ratios. They offer a serve yourself snack bar in flight. I went to the galley at one point and there was very little available to take food wise - it was mostly just drinks. It also seemed to be a fixed meal time - something else i do not appreciate in business class these days when dine on demand is a far better option for passengers. The IFE selection was nothing more than average. I found the overall selection somewhat limited compared to other carriers. The service and product simply left me feeling that BA is way behind other carriers and I concluded that i would not make a point of flying with them again on a long haul route in a premium cabin.",C Stratton,16th November 2017,Boeing 787,Solo Leisure,Business Class,Seoul Incheon to London Heathrow,December 2016,3.0,3.0,3.0,3.0,4,,3,no
21,"""It was the most uncomfortable flight""","✅ Verified Review |  Flew Cape Town to London with British Airways. It’s hard to think of a good thing about this flight. On the outward journey I was in an aisle seat. Next to me was somebody who was too large to comfortably be able to occupy a middle seat. The crew could have helped the poor person out by offering an aisle but they made no attempt. So three people suffered cramped conditions for 11 hours. The food is awful, poor quality and with poor selection of wines - cheap Spanish wine with no choice, the cabin was over heated. It was the most uncomfortable flight I have ever taken. Until my return flight - entertainment system was not working - ancient plane same miserable food. This airline used to be good, now it is awful.",Saunders Mark,16th November 2017,Boeing 747,Business,Economy Class,Cape Town to London,November 2017,1.0,1.0,1.0,1.0,3,,3,no
22,"""Cost cutting was in evidence""","✅ Verified Review |  London to Bahrain club world and they certainly like to pack folk into a business class cabin in a 2-4-2 configuration which is out of date and hardly worthy of business class cabin compared to the likes of Qatar, Emirates, Etihad which are far more superior. The plane was old along with a tired cabin and dirty unkempt bathroom basins that had permanent staining which need replacing. On this flight good choice of foods with attentive staff. Cost cutting was in evidence in the amenity bag you get, the presentation of food trays and the personnel service had gone. It's more akin to economy, also a real negative point is your at Heathrows newest terminal & guess what you are transported to your aircraft by buses! A shining example of what is supposed to be a modern airport. This flight is definitely not 5 star and a 3 star rating is where this airline should sit. Plane was delayed 45 mins & arrived 25 mins late so not exactly a good timekeeping record either. IFE was poor with old films that they call new releases, no where near on a par with Qatar Airways.",Richard Clarke,15th November 2017,,Solo Leisure,Business Class,London Heathrow to Bahrain,November 2017,2.0,3.0,3.0,1.0,1,,3,no
23,"""crew amazingly helpful""","✅ Verified Review |  London to Philadelphia. Ticket booked was an AMEX companion ticket so effectively family of 4 travelled for £2.5k in business class return so very good value. Positives - B747 on both journeys was refurbished so very clean and great IFE. Cabin quiet and crew amazingly helpful. T5 Lounge fine, flight on time. Bags off very quickly. Negatives - food on on both legs wasn't great. Salad poor and main beef meal very average. Pudding which is normally the show stopper - not great. In previous years food been excellent. Return journey just the same - except for the crew this time being outstandingly helpful. We were travelling with a baby and a toddler and the crew couldn't do enough to help. The real test of the crew was on landing at LHR, we were walking up the jetty and my 3 year old daughter was sick all over me. We were stood on the jetty trying to sort the situation and all the crew after a long flight came to help us. They were amazing. They didn't have to as they were done for the day. BA are getting so much stick at the moment - their hard product is fine if you are redeeming a companion ticket but not if you are paying in excess of £15k. The crew lift this product to a much higher level.",Edward Warren,14th November 2017,Boeing 747,Family Leisure,Business Class,London to Philadelphia,October 2017,4.0,5.0,2.0,4.0,4,,4,yes
24,"""extra cost not justified""","✅ Verified Review |  British Airways short haul Business Class is nothing more than an economy class seat and maximum 31 inch pitch, with lounge access and a meal thrown in. So is it worth paying three times the cost of an economy ticket? BA recently introduced Business Class on domestic routes and as I got a decent price for booking well in advance, decided to try it out. Checking in was efficient, and the Galleries Club Lounge adequate (no comparison whatsoever with Asian or Middle Eastern Airline lounges). Priority boarding although announced, did not make any difference as economy and business class passengers were in the same queue and confused. Having maneuvered into the cramped seat, I was offered a hot towel as soon as I sat down. I couldn't decide whether to be amused or embarrassed by the new celebrity cast safety video. It was more spot the stars, than listen to the safety instructions. But I guess it was something different BA was trying out. The service on board was surprisingly efficient and swift. Soon after take off, a tasty snack and bar service with premium brands was offered on this one hour flight. The service was good, considering a one hour flight. Despite a Boeing 767, 2x2x2 layout, the cabin felt claustrophobic. To me, this was no different than economy seating, with virtually no leg room. How can this be branded as Business Class? Is the extra cost justified to fly Club Europe? Absolutely not.",R Wathardar,13th November 2017,Boeing 767,Business,Business Class,London to Edinburgh,November 2017,1.0,3.0,3.0,,3,,1,no
25,"""requested Asian vegetarian food""","✅ Verified Review |  I requested Asian vegetarian food both ways including my return flight from Oakland to Gatwick on the 6th November, but I was very disappointed that my requirement was not fulfilled.  I was told that on my connection flight I have to pick up my luggage and then check it again at Phoenix airport for connection flight which I never heard before as normally all the airlines do the checking luggage transfer themselves and passengers just have to do security checks and board the flight. When I reached Phoenix first security took long time to clear then luggage took time to come then I had to go on the different level to check in, then down to go through security again to board my flight. On my return flight from Oakland to Gatwick when I went to the check in luggage I was told by the staff at the desk that TSA will break my lock to check through my luggage, so please keep it unlocked.  I requested Asian vegetarian food but when I got my special meal it was cholesterol fat free diet. When I mentioned this to the staff who gave me this food she said that’s what you asked for but I said sorry I didn’t as on the food label clearly says 18A and my seat no is 18K so how is this my food. She still didn’t believe me instead of apology she said I have to get back on this matter to provide you food as we might not have spare food to offer you. After 15 mins of wait once she serving all the passengers she came to me and told me that if you want I can offer you full English breakfast I said but I am vegetarian she said I don’t have any other option.",Komalpreet Gill,13th November 2017,,Family Leisure,Economy Class,Oakland to Gatwick,October 2017,1.0,1.0,1.0,,1,,1,no
26,"""continually disappointed by British Airways""","✅ Verified Review |  Am continually disappointed by British Airways. It seems they are now in a race with Ryanair and easyJet to become the worst carrier in and out of the UK. Flew Düsseldorf to London. Their lounge at DUS is closed but their check-in staff doesn't know that (she sent me up there). I have a connexion at JFK and I showed her the boarding passes but she wouldn't interline my bag to their partner AA and I had to recheck it. Now, not only do they not serve a second meal on the 11-hour flight LHR-LAX, but now they want £2 for a can of coca cola that they pay 15p for. Usually, you should always fly across the ocean on a European carrier, but with BOAC I recommend Finnair or American with their One World alliance. What is the point?",Derek Northcutt,13th November 2017,A321,Business,Economy Class,Düsseldorf to London,August 2017,3.0,4.0,2.0,3.0,2,,1,no
27,"""need to clean the planes more often""","✅ Verified Review |  London to Santiago. Cabin crew generally helpful and friendly. Cabin a bit grubby; crumbs, nuts and grime in evidence. On the flight home as I took my seat I saw a bit of the wrapper of the ear plugs they give out which seemed to have been left over from the previous flight - evidence that whoever wields the vacuum cleaner before the passengers board needs to be a bit more thorough. The alcoholic drinks were all pleasant. The food was of variable quality (as was the coffee) none bad, some a bit mediocre, some good. Many have commented on the somewhat odd seat arrangement and I found it a bit of a palaver to have to carefully step over another, sleeping, passenger's legs trying not to wake them up. The other problem with that configuration is the video screen has to be stowed at take off and landing which means you can't watch it, as you can in economy when the screen is on the back of the seat in front of you. On both flights I found that my screen seemed to be broken and would not lock in position so that I would have to look at it at an angle. I solved the problem by stuffing a rolled up magazine in the hinge bit, but then I had to take it out every time I got out of my seat. Another problem with the configuration is that the storage space is minimal; apart from the overhead lockers there is only a small drawer. And that adds to the litter problem. After you have taken off the polythene wrappers for your headphones and blanket or the paper ring around your napkin, what do you do with it? Er, drop it on the floor? I did manage to sleep quite well, though the pillow you are provided with is very thin. On the flight back they gave me another one when I asked. Another small problem is that there is no individual air conditioning vent for your seat and if you take off your jacket, sweater or whatever, the lack of storage space means it has to go in the overhead locker if you have already filled up the little drawer. And I don't want to seem a bit picky, but although the in-flight entertainment has a good choice of films, the menu system for seeing what they are is a bit irritating; they are all divided into categories such as ""comedy"", ""thrillers"" etc but no A-Z. All in all, it wasn't an unpleasant experience but I would advise BA, if they were interested in my advice, that they need to clean the planes more often and more thoroughly and re-think the seat configuration.",G Searle,11th November 2017,Boeing 787-9,Couple Leisure,Business Class,London to Santiago,November 2017,3.0,4.0,3.0,3.0,4,,3,yes
28,"""Complete rip-off sums it up""","✅ Verified Review |  London to New York JFK in club world. After reading very mixed reviews here, I also saw that BA were upgrading standards on flights to NYC in particular and was looking forward to my flight. Should not have been so optimistic, as this is still a business class that belongs in the 1980's. Aircraft was tatty to be polite about it, worn carpets, seat with various malfunctioning or broken items, washrooms grimy from the word go. Staff tried hard to offer a modicum of good service, but the so called food improvements were really not much better than other premium economy cabins I have flown when I have to pay for the ticket. BA talk a lot about their premium standards, but even when you pay to-dollar for business class the standards are well below even their US counterparts. Complete rip-off sums it up.",Mike Randall,11th November 2017,Boeing 747-400,Business,Business Class,London to New York JFK,November 2017,2.0,3.0,2.0,3.0,3,1.0,1,no
29,"""exactly the same width and pitch""","✅ Verified Review |  My wife and I booked two round trip business class air tickets from Johannesburg to Victoria Falls with British Airways / Comair. It turned out that our business class seats were not any different from the seats in the economy class: they had exactly the same width and pitch! Actually, British Airways simply separated several seats in the front from the rest of the aircraft cabin with a curtain, and called this a business class! Moreover, our pre-flight accommodations were not any better than those of the economy class passengers because British Airways does not even have a lodge for business class passengers in Victoria Falls. Yes, during the flight we were served sparkling wine and snacks, but does this difference substantiate my paying for two round trip tickets $1,372 rather than $703, which would have been the cost of the economy class tickets?",Yuriy Karpov,10th November 2017,,Couple Leisure,Business Class,Johannesburg to Victoria Falls,October 2017,1.0,3.0,3.0,1.0,1,,1,no
30,"""trained to give you the runaround""",✅ Trip Verified |  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,T Cayle,17th April 2023,,Family Leisure,Economy Class,London to Denver,March 2023,2.0,5.0,2.0,3.0,4,1.0,1,no
31,"""they only had one choice of meal""","✅ Trip Verified |  Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew.",Andrew Pybus,17th April 2023,,Solo Leisure,Economy Class,Hong Kong to London,April 2023,2.0,1.0,1.0,1.0,2,1.0,2,no
32,"""relentless BA cost cutting""","✅ Trip Verified |  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping.",M Edwards,16th April 2023,A320,Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,4.0,,3,1.0,2,no
33,"""I wouldn't recommend British Airways""","✅ Trip Verified |  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around",Luis Rojas,15th April 2023,,Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,,1.0,3,3.0,1,no
